position,team_name,matches,points,score_diff,goals
1,Real Madrid CF,3,9,5,6
2,Athletic Club,3,9,3,6
3,Villarreal CF,3,7,7,8
4,FC Barcelona,3,7,4,7
5,RCD Espanyol de Barcelona,3,7,2,5
6,Getafe CF,3,6,0,4
7,Elche CF,3,5,2,4
8,Real Betis Balompié,4,5,0,4
9,Valencia CF,3,4,2,4
10,Rayo Vallecano de Madrid,3,4,1,4
11,Deportivo Alavés,3,4,0,3
12,Sevilla FC,3,3,0,5
13,CA Osasuna,3,3,-1,1
14,RC Celta de Vigo,4,3,-2,3
15,Real Oviedo,3,3,-4,1
16,Club Atlético de Madrid,3,2,-1,3
16,Real Sociedad de Fútbol,3,2,-1,3
18,RCD Mallorca,3,1,-4,2
19,Levante UD,3,0,-4,3
20,Girona FC,3,0,-9,1
